artist,song,link,text
Bon Jovi,Bed Of Roses,/b/bon+jovi/bed+of+roses_20022208.html,"Sitting here wasted and wounded  
At this old piano  
Trying hard to capture  
The moment this morning I don't know  
'Cause a bottle of vodka  
Is still lodged in my head  
And some blond gave me nightmares  
I think she is still in my bed  
As I dream about movies  
They won't make of me when I'm dead  
  
With an ironclad fist I wake up and  
French kiss the morning  
While some marching band keeps  
Its own beat in my head  
While we're talking  
About all of the things that I long to believe  
About love and the truth and  
What you mean to me  
And the truth is baby you're all that I need  
  
I want to lay you down on a bed of roses  
For tonight I sleep on a bed on nails  
I want to be just as close as the Holy Ghost is  
And lay you down on bed of roses  
  
Well I'm so far away  
That each step that I take is on my way home  
A king's ransom in dimes I'd given each night  
Just to see through this payphone  
Still I run out of time  
Or it's hard to get through  
Till the bird on the wire flies me back to you  
I'll just close my eyes and whisper,  
Baby blind love is true  
  
I want to lay you down on a bed of roses  
For tonight I sleep on a bed on nails  
I want to be just as close as the Holy Ghost is  
And lay you down on bed of roses  
  
The hotel bar hangover whiskey's gone dry  
The barkeeper's wig's crooked  
And she's giving me the eye  
I might have said yeah  
But I laughed so hard I think I died  
  
When you close your eyes  
Know I'll be thinking about you  
While my mistress she calls me  
To stand in her spotlight again  
Tonight I won't be alone  
But you know that don't  
Mean I'm not lonely I've got nothing to prove  
For it's you that I'd die to defend  
  
I want to lay you down on a bed of roses  
For tonight I sleep on a bed on nails  
I want to be just as close as the Holy Ghost is  
And lay you down on bed of roses

"
Van Halen,Jamie's Cryin',/v/van+halen/jamies+cryin_20142839.html,"She saw the look in his eyes, 'n' she knew better  
He wanted her tonight, ah, and it was now or never  
He made her feel so sad  
  
Oh, whoa, whoa, Jamie's cryin'  
Oh, whoa, whoa, Jamie's cryin'  
  
Now Jamie wouldn't say, ""All right"", ah, she knew he'd forget her  
'N' so they said goodnight, ah, oh, 'n' now he's gone forever  
She want's to send him a letter, uh yeah yeah  
Uh just to try to make herself feel better  
It said ""Gimme (gimme a call sometime"")  
But she knows what that'll get her  
  
Oh, whoa, whoa, Jamie's cryin'  
Oh, whoa, whoa, Jamie's cryin'  
  
Now Jamie's been in love before (ahhh)  
And she knows what love is for (ahhh)  
It should mean, a little, a little more (ahhh)  
Than one night stands, whoo  
  
She want's to send him a letter, uh yeah yeah  
Just to try to make herself feel better  
It said ""Gimme (gimme a call sometime"")  
But she knows what that'll get her  
  
Oh, whoa, whoa, Jamie's cryin'  
Oh, whoa, whoa, Jamie's cryin'  
[repeat til outro]

"
Owl City,I Hope You Think Of Me,/o/owl+city/i+hope+you+think+of+me_21007810.html,"She wound the thread around the pieces of, my broken heart  
Had left me to believe  
That girls don't wanna, girls don't wanna leave  
  
The starry nights without a fear of heights  
I can't recall, but I learned after all  
That girls don't wanna, girls don't wanna fall  
  
As you doze off tonight, I'll toss and turn  
As your sweet dreams dissolve, I'll crash and burn  
While your heart flutters free, I still can't breathe  
As you stir in your sleep, I hope you think of me  
  
A blissful way she whispered in my ear  
Before she left, had me so convinced  
That girls don't wanna, girls don't wanna leave  
  
And Juliet's romantic balcony  
Wears out the wall, and I learned after all  
That girls don't wanna, girls don't wanna fall  
  
As you doze off tonight, I'll toss and turn  
As your sweet dreams dissolve, I'll crash and burn  
While your heart flutters free, I still can't breathe  
As you stir in your sleep, I hope you think of me  
  
I feel alone  
I hope my ghost, never leaves  
'Cause when I'm home  
Your painful memory, is always haunting me  
  
As you doze off tonight, I'll toss and turn  
As your sweet dreams dissolve, I'll crash and burn  
While your heart flutters free, I still can't breathe  
As you stir in your sleep, the thought is killing to me  
  
When I see you around, my eyes get wide  
When you race through my mind, I die inside  
While your heart flutters free, I still can't breathe  
As you stir in your sleep, I hope you think of me  
  
I hope you think of me, I hope you think of me

"
Weezer,Put Me Back Together,/w/weezer/put+me+back+together_20860881.html,"One, two, three, four  
  
When I walk  
Down the street  
I been trippin' on my feet  
  
And my clothes  
They don't match  
And my blue jeans need a patch  
  
It's cold outside  
Is there someone there tonight  
It's cold outside  
Won't you let me come inside and make it right  
  
Here it's clear, that I'm not getting better  
When I fall down, you put me back together  
  
What I do, isn't cool  
And my lips are lined with drool  
I'm a mess, since you left  
You can use this fool, I'm gonna use this too  
  
It's cold outside  
Is there someone there tonight  
It's cold outside  
Would you let me come inside, and make it right  
  
Here, it's clear, that I'm not getting better  
When I fall down, you put me back together  
I'm alone, in my room, I don't know what to do  
When I fall down, you put me back together  
(You put me back together)  
  
And when I day dream  
When eating ice cream  
It's such a nice scene  
  
But then I wake up crying  
I know I just been lying  
  
Here, it's clear, that I'm not getting better (that I'm not getting better)  
When I fall down, you put me back together (put me back together)  
Right, it's clear, that I'm not getting better (that I'm not getting better)  
When I fall down, you put me back together  
  
I'm alone, in my room, I don't know what to do  
When I fall down you put me back together

"
Fleetwood Mac,Show Me A Smile,/f/fleetwood+mac/show+me+a+smile_20054221.html,"Take everything easy  
Show me a smile  
It doesn't take much to please me  
My little child  
  
Shine me a light from your eyes dear  
Don't let me see a single tear  
Take everything easy  
Show me a smile  
Soon you'll be a man  
My little one  
So have fun while you can  
Or there'll be none  
  
Everything's going fast around you  
There will be things to astound you  
You'll be a man in no time  
My little one  
  
So take everything easy  
Show me a smile  
It doesn't take much to please me  
My little child  
  
Shine me a light from your eyes dear  
Don't let me see a single tear  
Take everything easy  
Show me a smile  
Ooh  
Ooh  
Ooh  
Ooh  
  
Take everything easy  
Show me a smile  
It doesn't take much to please me  
My little child  
  
Shine me a light from your eyes dear  
Don't let me see a single tear  
Take everything easy  
Show me a smile  
Soon you'll be a man  
My little one  
So have fun while you can  
Or there'll be none  
  
Everything's going fast around you  
There will be things to astound you  
You'll be a man in no time  
My little one  
  
So take everything easy  
Show me a smile  
It doesn't take much to please me  
My little child  
  
Shine me a light from your eyes dear  
Don't let me see a single tear  
Take everything easy  
Show me a smile  
Ooh  
Ooh  
Ooh  
Ooh

"
George Jones,Don't Leave Without Taking Your Silver,/g/george+jones/dont+leave+without+taking+your+silver_20823741.html,"You said I'm taking everything that is mine right down to the clock on the
wall. I watched as you packed up your things. Then you turned and said, ""Well,
that's all."" Oh but you've overlooked just one item. It's as much yours as the
clothes that you wear.  
Don't leave without taking your silver. You left it right here in my hair.  
It's yours, for I didn't have it the moment you captured my soul. First a
little streak showed then slowly it wove it's way right in with the gold. I
don't see how you overlooked it. For we both know that you put it there.  
Don't leave without taking your silver. You left it right here in my hair. No
don't leave without taking your silver. You left it right here in my hair.  
  

"
Ramones,Indian Giver,/r/ramones/indian+giver_20272042.html,"I can still remember  
It wasn't long ago.  
Things you used to tell me,  
You said I had to know.  
Told me that you loved me  
And that you always would.  
Then I said I loved you.  
You said that that was good.  
Girl, you made a promise, said you'd never want me to go.  
Oh no!  
  
Indian giver, Indian giver,  
You took your love away from me.  
Indian giver, Indian giver,  
Took back the love you gave to me.  
  
Baby, I was feeling  
The way I want to feel.  
You had me believing  
The love we had was real.  
Things we did together  
You said they'd never end.  
""Now until forever."" Yeah, that was what you said.  
Girl, when I was down, I knew you'd always be there.  
Oh, yeah!  
  
Indian giver, Indian giver,  
You took your love away from me.  
Indian giver, Indian giver,  
Took back the love you gave to me.

"
Jimi Hendrix,We Gotta Live Together,/j/jimi+hendrix/we+gotta+live+together_20071578.html,"""We'd like to say, we'd like you to clap your hands just  
One more time, and sing along with us.""  
  
Haaa haaa haaa  
  
The old house dog  
Is waggin' his tale  
Nobody loves him  
He's dirty as hell  
They put him in home sweet hell  
Everyone now  
Home sweet home  
Home sweet home  
Home sweet home  
Got to be love beside ya  
Home sweet home  
That's all you gotta have love beside ya  
Home sweet home  
Yeah  
Home sweet home  
Home sweet home  
Home sweet home  
It's alright  
Home sweet home  
Yeah yeah  
Home sweet home  
Home  
Home  
Home  
Home  
Etc.  
Yeah  
It's all  
It's all  
Yeah  
Yeah  
Yeah  
  
We got to live together  
Yeah  
We got to live together  
Yeah  
We got to live together  
Yeah  
We got to live together...

"
Townes Van Zandt,"Turnstyled, Junkpiled",/t/townes+van+zandt/turnstyled+junkpiled_20139877.html,"Well, I've been turn-styled,  
Junk-piled  
And railroaded too  
I've been laid low  
But don't you know  
I'm still in love with you  
I've been took down many a road  
If anybody says I ain't day lie  
But ain't got no plans  
Except to be your man  
And love you 'til I die  
  
Well you got me under your spell  
Won't you tell  
Me all 'bout your wonderful charms  
I got time to burn  
And a lot to learn  
Mama, take me in your lovin' arms  
Well, I know that probably  
You feel quite oddly  
'Bout you hear say  
But if you hold me tight  
It's gonna be all right  
Mama, chase my blues away

"
Faces,Stone,/f/faces/stone_20052416.html,"(ronnie lane)  
Once I was a stone many years ago  
Into a pool was thrown many years ago.  
Time passed by, the pool ran dry, excavated was i.  
And tempered and beat in a fiery heat,  
By the hand of a man, who's name was dan  
Dan the blacksmith.  
Once I was a sword, many years ago.  
And my blade was broad, many years ago.  
Worn with pride, into battle I'd ride at a warrior's side.  
And I cut and I killed and was lost in a field,  
And I soon did rust, corrode to dust,  
Oh my.  
Once I was a daisy, many years ago.  
In pastures green and lazy, many years ago.  
But I was et by a goat who fell in a moat and forgetting to float  
He sunk like a lead and stayed until dead,  
But was relieved to find just how kind it all was.  
Once I was a grub, many years ago.  
I lived in muck and mud, many years ago.  
But on the very first noon I became a cocoon that resembled a prune.  
When the good lord was done in the warmth of the sun.  
I shed my skins, and dried my wings, and I flew away.  
Once I was a bullfrog, had to struggle for survival.  
And once I was a carp and lived in waters ornamental.  
And once I was a myna bird, quoting verses from the bible,  
Said ""pretty boy, pretty boy, st. luke"".  
Once I was a mule, a many years ago.  
But my master treat me cruel, a many years ago.  
By and by I was sick, couldn't move to his kick, so he took out a stick  
And hit it right 'cross my back to an almighty crack,  
And to his dismay, I passed away, into the blue.  
I was born a human baby, many years ago.  
I was born unto a lady, many years ago.  
All our hopes they were piled on the back of a child that turned out to be
wild.  
Sent the devil a prayer and caused the parson to swear.  
So I took my leave to lie and thieve my way to jail.  
I've been tinker, tailor, soldier, sailor.  
I've known good times and disaster.  
But now I've found a teacher, and the teacher has a master,  
The master is perfection, so he'll help us get there faster.  
I don't need no proof, because that's the truth, and I'll drink to that.  

"
Morrissey,You Have Killed Me,/m/morrissey/you+have+killed+me_20484839.html,"Pasolini is me,  
Accattone, you'll be,  
I entered nothing and nothing entered me,  
Till you came with the key,  
And you did your best but?  
  
As I live and breathe,  
You have killed me,  
You have killed me,  
Yes I walk around somehow,  
But you have killed me,  
You have killed me  
  
Piazza Cavour,  
What's my life for?  
  
Visconti is me,  
Magnani,  
You'll never be.  
  
I entered nothing and nothing entered me,  
Till you came with the key,  
And you did your best but?  
  
As I live and breathe,  
You have killed me,  
You have killed me,  
Yes I walk around somehow,  
But you have killed me,  
You have killed me  
  
Who am I, that I, come to be here?  
  
As I live and breathe,  
You have killed me,  
You have killed me,  
Yes I walk around somehow,  
But you have killed me,  
You have killed me  
  
And there is no point saying this again,  
There is no point saying this again,  
But I forgive you,  
I forgive you,  
Always, I do forgive you.

"
Pet Shop Boys,It's Alright,/p/pet+shop+boys/its+alright_20107159.html,"(It's alright)  
(It's alright)  
I can hear it  
(Alright, Alright, Alright, Alright)  
(Alright, Alright, Alright, Alright)  
  
Dictation being forced in Afghanistan  
Revolution in South Africa taking a stand  
People in Eurasia on the brink of oppression  
I hope it's gonna be alright  
'Cause the music plays forever  
(For it goes on and on and on and on)  
Yeahah  
  
I hope it's gonna be alright  
(Alright, Alright, Alright, Alright)  
  
Generations will come and go (Will come and go)  
But there's one thing for sure  
Music is our life's foundation  
And shall succeed all the nations to come  
Yeahah  
  
I hope it's gonna be alright  
'Cause the music plays forever  
(For it goes on and on and on and on...)  
(Yeahah)  
  
I hope it's gonna be alright  
(On and on and on...)  
  
'Cause the music plays forever  
(For it goes on and on and on and on and on and on and on)  
  
The year three thousand may still come to pass  
But the music shall last  
I can hear it on a timeless wavelength  
Never dissipating but giving us strength  
  
I hope it's gonna be alright  
(Alright, Alright, Alright, Alright)  
(Alright, Alright, Alright, Alright)  
(Alright, Alright, Alright, Alright)  
  
I hope it's gonna be alright  
  
(Pu bu dup dup pu pu do bu dup...)  
  
(Alright, Alright, Alright, Alright)  
(Alright, Alright, Alright, Alright)  
(For it goes on and on and on and on)  
(Alright, Alright, Alright, Alright)  
  
Let your body move tonight  
'Cause it's gonna be alright  
(It's alright)  
(It will be alright)  
(It's alright)  
(It's gonna be alright)  
(Aaahahahahahahaaheheheehheeh...)  
(It's gonna be)  
(It's gonna be)  
(It's gonna be)  
(It's gonna be)  
(Alright)  
(It's gonna be all)  
(It's gonna be all)  
(Alright)  
(It's gonna be all)  
(Alright)  
(It's gonna be all)  
(Alright)  
'Cause the music plays forever  
(It's gonna be all)  
(It's gonna be all)  
(It's gonna be all)  
(It's gonna be all)  
(It's gonna be alright)  
(It's alright)  
  
I can hear it on a timeless wavelength (eehh...)  
Never dissipating but giving us strength (eehh...)  
I hope it's gonna be alright (aahh...)  
'Cause the music plays forever on and on and on and on and on and on and on...  
  
(""I hope it's gonna be alright"")  
(""I hope it's gonna be alright"")  
(""I hope it's gonna be alright"")  
(""I hope it's gonna be alright"")  
(""I hope it's gonna be alright"")  
(aahh...)

"
Smiths,Girlfriend In A Coma,/s/smiths/girlfriend+in+a+coma_20126853.html,"Girlfriend in a coma, I know  
I know - it's serious  
Girlfriend in a coma, I know  
I know - it's really serious  
  
There were times when I could  
Have ""murdered"" her  
(but you know, I would hate  
Anything to happen to her)  
  
No, I don't want to see her  
  
Do you really think  
She'll pull through?  
Do you really think  
She'll pull through?  
Do...  
  
Girlfriend in a coma, I know  
I know - it's serious  
My, my, my, my, my, my baby, goodbye  
  
There were times when I could  
Have ""strangled"" her  
(but you know, I would hate  
Anything to happen to her)  
Would you please  
Let me see her !  
  
Do you really think  
She'll pull through ?  
Do you really think  
She'll pull through ?  
Do...  
Let me whisper my last goodbyes  
  
I know - it's serious

"
Fabolous,Pachanga,/f/fabolous/pachanga_20844343.html,"A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas , Pa-Pa-Pachangas  
  
Yo everything ain't love, love cause if it is  
My definition of love must differ his  
I mean every friendship has its differences  
But these 'Young Bucks' remind me of 'Fif' and his  
They hear the good life, wanna see what the difference is  
Some just wanna smoke, enjoy the piff-vileges  
He unwrap a cigar like it's a gift of his  
He a funny lil nigga like Eddie Griffin is  
Between smokin' and chokin' then you got to live  
So I gave him a chance and that's a lot to give  
We 'posed to make the most of what you was paid to gross  
I gave you bread and butter you supposed to make the toast  
Fifteen years, fifteen years  
And now when we say 'what's up' the shit seem weird  
But there's a question I prepared for you  
How could you fuck the only people who ever cared for you?  
A thug changes  
  
A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas , Pa-Pa-Pachangas  
A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas , Pa-Pa-Pachangas  
  
There's a parallel path 'tween friends and enemies  
And whenever you cross it you make friend-emies  
There's no remedies for these sick memories  
My doctor said there's no cure for the Emmales  
Had a crush on you now we Kim and Cease  
We don't even talk no more it's no biggie  
I was so Biggie, you was Faith  
I let you slide in my home, you was safe  
I thought my ability to provide you stability  
Was what was really G, okay silly me  
I was Billy D, smooth cappa really street  
Really she attract niggaz like the a Milli beat  
And I happen to rap but somethin' 'bout this beat strange  
Soon as I try to flow with it the beat change  
Never thought she'd change  
But what you thinks a upgrade really just could be a seat change  
  
A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas, Pa-Pa-Pachangas  
A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas, Pa-Pa-Pachangas  
  
See when the love is gone then it's just B.S. left  
Just niggas with chains on tryna be S.F. (Street Fam)  
That's when your ace become ya B.F.F.  
Pa-Pa-Pa-Pachange ya like they was a P.F. chef  
Da-Da-Da-Danger, it just feels 'Mystikal'  
I miss the cool nights sittin in the Coll-O  
Now it's like boo we sittin' in Apollo  
It used to be all good then shit just went mile low  
And that's bad, matter fact that's sad  
Cause when you lose a friend it's hard to handle the loss  
They do some bitch shit gotta give ya man a divorce  
End up watchin' Friends like Joey, Chandler and Ross, ya see  
Most of these niggas ain't never love 'em  
And these bitches just think whatever of 'em  
So maybe playin' dumb was kinda clever of 'em  
And less friends are your best friends become strangers  
  
A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas, Pa-Pa-Pachangas  
A thug changes and love changes  
And best friends become strangers, Pachangas  
Pa-Pa-Pachangas, Pa-Pa-Pachangas

"
